ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_colssunset1,night,e2vid,netvlad,1,countbin,fixed,1000000,Unnamed: 26,25,frame,modified,373,537,0.0241,0.0007,19.78,1.1,1.2,patch_cols
sunset1,sunrise,eventCount_noPolarity,megaloc,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3556,0.1672,20.01,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,timeSurface,megaloc,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.5253,0.3682,20.72,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount,megaloc,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.4061,0.2035,20.89,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,e2vid,megaloc,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.5475,0.4301,20.24,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,timeSurface,netvlad,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.5311,0.373,14.88,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount_noPolarity,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.09,0.0103,10.64,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,e2vid,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.3953,0.2534,10.82,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount_noPolarity,netvlad,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.0841,0.0125,11.33,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,e2vid,netvlad,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1224,0.0207,13.18,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount,netvlad,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1416,0.0306,13.18,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,timeSurface,netvlad,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1622,0.0345,14.01,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount,megaloc,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.6977,0.5933,23.52,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount_noPolarity,megaloc,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.6497,0.5451,24.5,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,timeSurface,megaloc,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.7458,0.66,24.43,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,e2vid,megaloc,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.8319,0.7793,24.1,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount_noPolarity,megaloc,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1445,0.0283,23.21,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,timeSurface,megaloc,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.3687,0.2293,22.76,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount,megaloc,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1667,0.056,23.81,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,e2vid,megaloc,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.4454,0.2678,22.52,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,timeSurface,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.059,0.007,38.79,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0214,0.0022,38.82,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,e2vid,cosplace,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0214,0.0003,39.03,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount,cosplace,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0241,0.0008,39.04,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,timeSurface,cosplace,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0134,0.0002,39.18,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount_noPolarity,cosplace,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0188,0.0004,39.5,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,timeSurface,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.5323,0.4621,8.06,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.5672,0.5085,8.63,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount,cosplace,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.3253,0.1429,9.09,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,timeSurface,cosplace,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.25,0.0765,9.38,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,e2vid,cosplace,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.0968,0.0072,9.64,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount_noPolarity,cosplace,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.2366,0.0663,10.11,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,timeSurface,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.6384,0.5916,9.26,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.6384,0.5892,9.51,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount,cosplace,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3293,0.1783,10.08,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,timeSurface,cosplace,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3131,0.1347,9.91,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount_noPolarity,cosplace,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3051,0.1501,9.62,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,e2vid,cosplace,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.4,0.152,10.12,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,timeSurface,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.839,0.8091,11.09,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.8489,0.8287,11.23,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount,cosplace,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.5833,0.4687,11.28,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,timeSurface,cosplace,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.4718,0.2997,11.43,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount_noPolarity,cosplace,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.5466,0.4043,11.87,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,e2vid,cosplace,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.6554,0.5422,11.28,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,timeSurface,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.3319,0.1908,12.94,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.236,0.0816,13.04,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount,cosplace,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1401,0.0249,11.47,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,timeSurface,cosplace,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1652,0.0396,11.68,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,eventCount_noPolarity,cosplace,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.0752,0.0147,11.58,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,daytime,e2vid,cosplace,1,countbin,fixed,1000000,,25,frame,modified,678,537,0.1903,0.034,11.07,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,e2vid,netvlad,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0241,0.0007,0.48,1,1,,,,,,,,,,,,,,,,,,,1
