reconstruction,time_res,feature_extractor,dataset,ref_seq,qry_seq,repeats,mean_recon_total_s,std_recon_total_s,mean_recon_per_frame_s,mean_qry_frames
eventCount_noPolarity,1.0,cosplace,Brisbane,night,morning,1,43.3079773071222,0.0,0.07278651648255832,595.0
eventCount_noPolarity,0.5,mixvpr,Brisbane,night,morning,1,43.51399006997235,0.0,0.03653567596135378,1191.0
eventCount_noPolarity,0.5,megaloc,Brisbane,night,morning,1,43.51399006997235,0.0,0.03653567596135378,1191.0
eventCount_noPolarity,0.5,netvlad,Brisbane,night,morning,1,43.51399006997235,0.0,0.03653567596135378,1191.0
eventCount_noPolarity,0.5,cosplace,Brisbane,night,morning,1,43.51399006997235,0.0,0.03653567596135378,1191.0
eventCount_noPolarity,0.25,mixvpr,Brisbane,night,morning,1,43.98325395514257,0.0,0.01845709356069768,2383.0
eventCount_noPolarity,0.25,megaloc,Brisbane,night,morning,1,43.98325395514257,0.0,0.01845709356069768,2383.0
eventCount_noPolarity,0.25,netvlad,Brisbane,night,morning,1,43.98325395514257,0.0,0.01845709356069768,2383.0
eventCount_noPolarity,0.25,cosplace,Brisbane,night,morning,1,43.98325395514257,0.0,0.01845709356069768,2383.0
eventCount_noPolarity,0.1,mixvpr,Brisbane,night,morning,1,44.93496361398138,0.0,0.007540688641379658,5959.0
eventCount_noPolarity,0.1,megaloc,Brisbane,night,morning,1,44.93496361398138,0.0,0.007540688641379658,5959.0
eventCount_noPolarity,0.1,netvlad,Brisbane,night,morning,1,44.93496361398138,0.0,0.007540688641379658,5959.0
eventCount_noPolarity,0.1,cosplace,Brisbane,night,morning,1,44.93496361398138,0.0,0.007540688641379658,5959.0
timeSurface,1.0,mixvpr,Brisbane,night,morning,1,29.858931571012363,0.0,0.05018307827060901,595.0
timeSurface,1.0,megaloc,Brisbane,night,morning,1,29.858931571012363,0.0,0.05018307827060901,595.0
timeSurface,1.0,netvlad,Brisbane,night,morning,1,29.858931571012363,0.0,0.05018307827060901,595.0
timeSurface,1.0,cosplace,Brisbane,night,morning,1,29.858931571012363,0.0,0.05018307827060901,595.0
timeSurface,0.5,mixvpr,Brisbane,night,morning,1,31.151796767953783,0.0,0.026156000644797468,1191.0
timeSurface,0.5,megaloc,Brisbane,night,morning,1,31.151796767953783,0.0,0.026156000644797468,1191.0
timeSurface,0.5,netvlad,Brisbane,night,morning,1,31.151796767953783,0.0,0.026156000644797468,1191.0
timeSurface,0.5,cosplace,Brisbane,night,morning,1,31.151796767953783,0.0,0.026156000644797468,1191.0
timeSurface,0.25,mixvpr,Brisbane,night,morning,1,36.47098363796249,0.0,0.015304651127974188,2383.0
timeSurface,0.25,megaloc,Brisbane,night,morning,1,36.47098363796249,0.0,0.015304651127974188,2383.0
timeSurface,0.25,netvlad,Brisbane,night,morning,1,36.47098363796249,0.0,0.015304651127974188,2383.0
timeSurface,0.25,cosplace,Brisbane,night,morning,1,36.47098363796249,0.0,0.015304651127974188,2383.0
timeSurface,0.1,mixvpr,Brisbane,night,morning,1,44.365201324922964,0.0,0.0074450748992990375,5959.0
timeSurface,0.1,megaloc,Brisbane,night,morning,1,44.365201324922964,0.0,0.0074450748992990375,5959.0
timeSurface,0.1,netvlad,Brisbane,night,morning,1,44.365201324922964,0.0,0.0074450748992990375,5959.0
timeSurface,0.1,cosplace,Brisbane,night,morning,1,44.365201324922964,0.0,0.0074450748992990375,5959.0
e2vid,1.0,mixvpr,Brisbane,night,morning,1,83.7142346878536,0.0,0.14069619275269513,595.0
e2vid,1.0,megaloc,Brisbane,night,morning,1,83.7142346878536,0.0,0.14069619275269513,595.0
e2vid,1.0,netvlad,Brisbane,night,morning,1,83.7142346878536,0.0,0.14069619275269513,595.0
e2vid,1.0,cosplace,Brisbane,night,morning,1,83.7142346878536,0.0,0.14069619275269513,595.0
e2vid,0.5,mixvpr,Brisbane,night,morning,1,43.15520068607293,0.0,0.036234425429112455,1191.0
e2vid,0.5,megaloc,Brisbane,night,morning,1,43.15520068607293,0.0,0.036234425429112455,1191.0
e2vid,0.5,netvlad,Brisbane,night,morning,1,43.15520068607293,0.0,0.036234425429112455,1191.0
e2vid,0.5,cosplace,Brisbane,night,morning,1,43.15520068607293,0.0,0.036234425429112455,1191.0
e2vid,0.25,mixvpr,Brisbane,night,morning,1,54.43551372503862,0.0,0.022843270551841637,2383.0
e2vid,0.25,megaloc,Brisbane,night,morning,1,54.43551372503862,0.0,0.022843270551841637,2383.0
e2vid,0.25,netvlad,Brisbane,night,morning,1,54.43551372503862,0.0,0.022843270551841637,2383.0
e2vid,0.25,cosplace,Brisbane,night,morning,1,54.43551372503862,0.0,0.022843270551841637,2383.0
e2vid,0.1,mixvpr,Brisbane,night,morning,1,86.47279164707288,0.0,0.014511292439515502,5959.0
e2vid,0.1,megaloc,Brisbane,night,morning,1,86.47279164707288,0.0,0.014511292439515502,5959.0
e2vid,0.1,netvlad,Brisbane,night,morning,1,86.47279164707288,0.0,0.014511292439515502,5959.0
e2vid,0.1,cosplace,Brisbane,night,morning,1,86.47279164707288,0.0,0.014511292439515502,5959.0
