traverse_name,dataset,binning_type,binning_value,num_frames,mean_displacement,std_displacement
night,Brisbane,time,0.25,2383,3.269236580569761,0.9468011876074276
morning,Brisbane,time,0.25,2367,3.290583245292605,0.9739103082449122
sunrise,Brisbane,time,0.25,2411,3.2294801914762394,0.8718369129649561
sunset1,Brisbane,time,0.25,2559,3.044667496340481,1.2309920191277777
sunset2,Brisbane,time,0.25,2263,3.4467825325951567,0.8175026124462446
daytime,Brisbane,time,0.25,2563,3.0401125989136397,1.2658066190524035
R0_FA0,NSAVP,time,0.25,4190,1.8326495340909486,1.5409110703638957
R0_FS0,NSAVP,time,0.25,3642,2.1105945176804064,1.6546908475692297
R0_FN0,NSAVP,time,0.25,3558,2.1614049501039085,1.5654676823559608
R0_RA0,NSAVP,time,0.25,5150,1.484205140761092,1.4885445754997806
R0_RS0,NSAVP,time,0.25,4107,1.8572495932078563,1.6460915334517994
R0_RN0,NSAVP,time,0.25,3731,2.0421208334864276,1.6735475454371984
night,Brisbane,time,0.5,1191,6.540314295710826,1.8933319703754414
morning,Brisbane,time,0.5,1183,6.5827141123534725,1.9479172286715984
sunrise,Brisbane,time,0.5,1205,6.46080724928691,1.743219293777259
sunset1,Brisbane,time,0.5,1279,6.091574461577296,2.461644529471132
sunset2,Brisbane,time,0.5,1131,6.897673808151994,1.629881746004074
daytime,Brisbane,time,0.5,1281,6.08246136200882,2.5313370219492772
R0_FA0,NSAVP,time,0.5,2095,3.6661168741096626,3.0815129849604177
R0_FS0,NSAVP,time,0.5,1821,4.2222807571080825,3.3089920447341354
R0_FN0,NSAVP,time,0.5,1779,4.323961554042773,3.1303932178547944
R0_RA0,NSAVP,time,0.5,2575,2.9689270490371884,2.97688508634368
R0_RS0,NSAVP,time,0.5,2053,3.716250915357919,3.291789441536741
R0_RN0,NSAVP,time,0.5,1865,4.0863670013401014,3.3464502782976897
night,Brisbane,time,1.0,595,13.088011727366375,3.7855685662584984
morning,Brisbane,time,1.0,591,13.171634450027883,3.896214451877202
sunrise,Brisbane,time,1.0,602,12.929020400214695,3.484603413712368
sunset1,Brisbane,time,1.0,639,12.192127859387176,4.921915273593445
sunset2,Brisbane,time,1.0,565,13.811826297945615,3.2390545729046316
daytime,Brisbane,time,1.0,640,12.17388837656826,5.0615545037700285
R0_FA0,NSAVP,time,1.0,1047,7.338859333905492,6.160548220705298
R0_FS0,NSAVP,time,1.0,910,8.453450793582206,6.614808114486712
R0_FN0,NSAVP,time,1.0,889,8.657150402808844,6.256551454606348
R0_RA0,NSAVP,time,1.0,1287,5.942059803571427,5.952174564060866
R0_RS0,NSAVP,time,1.0,1026,7.439322502200674,6.581341645388349
R0_RN0,NSAVP,time,1.0,932,8.181030132726592,6.68952426816038
night,Brisbane,count,100000,3721,2.2864819323215855,0.94972158751363
morning,Brisbane,count,100000,3717,2.2815310275620484,1.8758248272907112
sunrise,Brisbane,count,100000,4948,1.6937597174698653,1.2791744509610328
sunset1,Brisbane,count,100000,5368,1.5395480465569022,1.165212050912332
sunset2,Brisbane,count,100000,7076,1.1610950762249317,0.8512610725521337
daytime,Brisbane,count,100000,6775,1.235625007274591,1.0687394506833987
R0_FA0,NSAVP,count,100000,42484,0.180707281446233,0.08409545667285383
R0_FS0,NSAVP,count,100000,40840,0.18817041755085503,0.15764895959534697
R0_FN0,NSAVP,count,100000,19273,0.39892899457816783,0.4052487029187083
R0_RA0,NSAVP,count,100000,42152,0.18130547336438016,0.1049640041521047
R0_RS0,NSAVP,count,100000,38643,0.1973470838081225,0.10774038135292931
R0_RN0,NSAVP,count,100000,18703,0.4072908775527406,0.43332221511697466
night,Brisbane,count,200000,1861,4.57234676492138,1.8624223343359634
morning,Brisbane,count,200000,1859,4.562349561441887,3.6418444011702036
sunrise,Brisbane,count,200000,2474,3.385220548715115,2.5058002293360446
sunset1,Brisbane,count,200000,2684,3.077026289409928,2.290395150033222
sunset2,Brisbane,count,200000,3538,2.3213367213204967,1.687041559935856
daytime,Brisbane,count,200000,3388,2.471027223849878,2.074102317025075
R0_FA0,NSAVP,count,200000,21242,0.36142221646769007,0.16774872980571337
R0_FS0,NSAVP,count,200000,20420,0.3763489363417115,0.3070578103238359
R0_FN0,NSAVP,count,200000,9636,0.7979396526078409,0.8053004075524979
R0_RA0,NSAVP,count,200000,21076,0.36261816082706444,0.2094335695071086
R0_RS0,NSAVP,count,200000,19321,0.3947137203369836,0.21502068081652886
R0_RN0,NSAVP,count,200000,9351,0.8146682260358841,0.8603226688256713
night,Brisbane,count,300000,1241,6.857772246558857,2.743313351528015
morning,Brisbane,count,300000,1239,6.8350269401347825,5.330074845937594
sunrise,Brisbane,count,300000,1650,5.07992180757375,3.704913335735167
sunset1,Brisbane,count,300000,1790,4.617370076276211,3.3841703491888615
sunset2,Brisbane,count,300000,2359,3.4817347129813725,2.5092024829120767
daytime,Brisbane,count,300000,2259,3.7061890705080973,3.0361694427631516
R0_FA0,NSAVP,count,300000,14161,0.5421577325992902,0.25095874771314297
R0_FS0,NSAVP,count,300000,13613,0.5645508639226076,0.44988692407325054
R0_FN0,NSAVP,count,300000,6424,1.1969667376326405,1.2000737516244853
R0_RA0,NSAVP,count,300000,14050,0.5439662611484949,0.3134031593777432
R0_RS0,NSAVP,count,300000,12881,0.5920691460662253,0.3218832187719987
R0_RN0,NSAVP,count,300000,6234,1.2220632861306662,1.279896023501624
night,Brisbane,count,500000,745,11.424636548142553,4.455681216008924
morning,Brisbane,count,500000,744,11.38841347397231,8.563238859130376
sunrise,Brisbane,count,500000,990,8.456756453147499,5.992722390449723
sunset1,Brisbane,count,500000,1074,7.685681836125893,5.525891251312533
sunset2,Brisbane,count,500000,1416,5.803607832148058,4.11635468386635
daytime,Brisbane,count,500000,1355,6.169805079156307,4.9057185836505655
R0_FA0,NSAVP,count,500000,8496,0.9036970455567216,0.41600983640384787
R0_FS0,NSAVP,count,500000,8168,0.9409377899563873,0.7222987828190387
R0_FN0,NSAVP,count,500000,3854,1.9953484018913148,1.9740244131764269
R0_RA0,NSAVP,count,500000,8430,0.9066472804951604,0.5198358042229909
R0_RS0,NSAVP,count,500000,7728,0.9869075085948434,0.5342118690169572
R0_RN0,NSAVP,count,500000,3740,2.0371999444889513,2.0977993099940773
night,Brisbane,count,1000000,373,22.83176785530678,8.415358982279788
morning,Brisbane,count,1000000,372,22.732735656623383,15.963956506019139
sunrise,Brisbane,count,1000000,495,16.899627255510804,11.361146162422017
sunset1,Brisbane,count,1000000,537,15.353069874755152,10.635887301080452
sunset2,Brisbane,count,1000000,708,11.593576830025336,7.939883934208231
daytime,Brisbane,count,1000000,678,12.332041009248762,9.161349715856161
R0_FA0,NSAVP,count,1000000,4248,1.8075810828249967,0.821232799185343
R0_FS0,NSAVP,count,1000000,4084,1.8820848385727862,1.36126569168582
R0_FN0,NSAVP,count,1000000,1927,3.991662897830427,3.825909156853665
R0_RA0,NSAVP,count,1000000,4215,1.8134937729492169,1.0281276923513367
R0_RS0,NSAVP,count,1000000,3864,1.9740567422970057,1.0570477180431417
R0_RN0,NSAVP,count,1000000,1870,4.075426110938685,4.022643209491734
